13:00:22.292 [main] INFO  testcase.Register_Sample_Gut - ***** Started going to My account user profile & adding pet *******
13:00:32.698 [main] INFO  testcase.Register_Sample_Gut - ***** Started Deleteing pet *******
13:01:29.266 [main] INFO  testcase.Register_Sample_Gut - ***** My pet section has been added successfully*******
13:01:31.292 [main] INFO  testcase.Register_Sample_Gut - ***** Pet health section adding process has been started *******
14:48:56.638 [main] INFO  testcase.Register_Sample_Gut - ***** Started going to My account user profile & adding pet *******
14:49:07.053 [main] INFO  testcase.Register_Sample_Gut - ***** Started Deleteing pet *******
14:50:02.162 [main] INFO  testcase.Register_Sample_Gut - ***** My pet section has been added successfully*******
14:50:04.182 [main] INFO  testcase.Register_Sample_Gut - ***** Pet health section adding process has been started *******
14:57:07.469 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Started going to My account user profile & adding pet *******
14:57:17.925 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Started Deleteing pet *******
14:58:13.083 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** My pet section has been added successfully*******
14:58:15.105 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Pet health section adding process has been started *******
15:11:06.471 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Started going to My account user profile & adding pet *******
15:11:16.936 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Started adding pet *******
15:11:36.945 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Pet health section adding process has been started *******
15:13:57.173 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Started going to My account user profile & adding pet *******
15:14:07.592 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Started adding pet *******
15:15:02.862 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** My pet section has been added successfully*******
15:15:04.878 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Pet health section adding process has been started *******
15:22:18.828 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Started going to My account user profile & adding pet *******
15:22:29.196 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Started adding pet *******
15:23:24.505 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** My pet section has been added successfully*******
15:23:26.521 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Pet health section adding process has been started *******
15:45:06.415 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Started going to My account user profile & adding pet *******
15:45:16.891 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Started adding pet *******
15:46:12.137 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** My pet section has been added successfully*******
15:46:14.146 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Pet health section adding process has been started *******
15:50:55.142 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Started going to My account user profile & adding pet *******
15:51:05.545 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Started adding pet *******
15:52:01.238 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** My pet section has been added successfully*******
15:52:03.255 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Pet health section adding process has been started *******
16:40:02.094 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Started going to My account user profile & adding pet *******
16:40:12.817 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Started adding pet *******
16:41:07.955 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** My pet section has been added successfully*******
16:41:09.978 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Pet health section adding process has been started *******
16:56:29.363 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Started going to My account user profile & adding pet *******
16:56:39.431 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Pet health section adding process has been started *******
16:57:56.554 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Started going to My account user profile & adding pet *******
16:58:06.991 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Started adding pet *******
16:58:27.038 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Pet health section adding process has been started *******
17:00:04.648 [main] INFO  testcase.My_Account_UserProfile_AddPet - ***** Started going to My account user profile & adding pet *******
